feedback_length,sentiment,region,language
120,positive,North,English
85,positive,North,English
90,positive,North,English
110,positive,North,English
95,positive,North,English
100,positive,North,English
88,positive,North,English
130,positive,North,English
140,positive,North,English
150,positive,North,English
92,positive,North,English
87,positive,North,English
115,positive,North,English
123,positive,North,English
135,positive,North,English
142,positive,North,English
98,positive,North,English
105,positive,North,English
111,positive,North,English
118,positive,North,English
90,neutral,South,English
95,neutral,South,English
85,neutral,South,English
80,neutral,South,English
75,neutral,South,English
70,neutral,South,English
78,neutral,South,English
82,neutral,South,English
88,neutral,South,English
92,neutral,South,English
65,negative,South,Spanish
70,negative,South,Spanish
75,negative,South,Spanish
80,negative,South,Spanish
85,negative,South,Spanish
90,negative,South,Spanish
95,negative,South,Spanish
100,negative,South,Spanish
105,negative,South,Spanish
110,negative,South,Spanish
115,negative,South,Spanish
120,negative,South,Spanish
125,negative,South,Spanish
130,negative,South,Spanish
135,negative,South,Spanish
140,negative,South,Spanish
145,negative,South,Spanish
150,negative,South,Spanish
155,negative,South,Spanish
160,negative,South,Spanish
165,negative,South,Spanish
170,negative,South,Spanish
175,negative,South,Spanish
180,negative,South,Spanish
